"NAME"	"START"	"STOP"	"SIZE"	"PLOTSIZE"	"PLOTSTART"	"PLOTSTOP"	"LAYER"	"STRAND"
"1"	"BEST1"	61717293	61732987	15694	28583	61710848	61739431	4	"+"
"2"	"DAGLA"	61447905	61514473	66568	66568	61447905	61514473	3	"+"
"3"	"DKFZP434K028"	61513965	61525127	11162	69625	61484733	61554358	1	"-"
"4"	"FADS1"	61567097	61596790	29693	29693	61567097	61596790	5	"-"
"5"	"FADS2"	61560452	61634826	74374	74374	61560452	61634826	1	"+"
"6"	"FADS3"	61640991	61659523	18532	28583	61635965	61664548	4	"-"
"7"	"FEN1"	61560109	61564716	4607	23452	61550686	61574138	6	"+"
"8"	"FTH1"	61727190	61735132	7942	22719	61719801	61742520	5	"-"
"9"	"MIR1908"	61582633	61582712	79	39576	61562884	61602460	3	"-"
"10"	"MIR611"	61559967	61560033	66	33713	61543143	61576856	4	"-"
"11"	"MIR6746"	61645688	61645750	62	39576	61625931	61665507	2	"-"
"12"	"MYRF"	61520114	61555990	35876	35876	61520114	61555990	3	"+"
"13"	"Metazoa_SRP"	61741850	61742104	254	57166	61713394	61770560	3	"+"
"14"	"RAB3IL1"	61664773	61687741	22968	37377	61657568	61694945	3	"-"
"15"	"RNU6-1243P"	61705366	61705472	106	56433	61677202	61733635	1	"+"
"16"	"RP11-810P12.1"	61779223	61780074	851	68892	61745202	61814094	1	"-"
"17"	"RP11-810P12.7"	61735266	61736962	1696	68892	61701668	61770560	2	"+"
"18"	"RP11-855O10.2"	61355966	61375022	19056	70358	61330315	61400673	1	"+"
"19"	"RP11-855O10.3"	61422137	61423174	1037	70358	61387476	61457834	2	"-"
"20"	"RPLP0P2"	61382508	61406921	24413	38110	61375659	61413769	3	"+"
"21"	"SYT7"	61282785	61348620	65835	65835	61282785	61348620	2	"-"
"22"	"TMEM258"	61535973	61560274	24301	43241	61526503	61569744	2	"-"
